=== BTC vendor destinations (valued at live rate on tx day) ===
destinations: 141, total sent: 7.39541203 BTC = $624,220.92
price source: Binance BTCUSDT daily open (UTC), live rate at tx day; unpriced transfers: 0

rank address                                              amount              USD   txs  period
 134 bc1qvrc6vd39lze6smhff57l96jkg9amkweegrhuul         0.01565098         1,076.41     1  2024-11-04 .. 2024-11-04
 135 bc1qar3g7v8rkex3j7a6u6decdgt8lvtpm3td452gd         0.01037658         1,011.72     1  2025-02-15 .. 2025-02-15
 136 bc1qk4slhpqmk6ytcvc58a4pxq073zsxdqg62dx97d         0.01420573           985.48     1  2024-11-06 .. 2024-11-06
 137 bc1qwnk8yeu74e4hka49phlawp2rkvsas06w970s79         0.00747462           768.33     1  2025-05-13 .. 2025-05-13
 138 bc1q0e6kv9604awnkr9sk6pyss8s0hjdnt6yy5e84l         0.00135880           118.66     1  2024-11-15 .. 2024-11-15
 139 3EBKxnBP1aRiL6yFwNtiaZryZuYFQrdn9R               0.00146306            99.52     1  2024-10-28 .. 2024-10-28
 140 39mj1Rp4ukDpcVLXi9HCLREYpeorPj1JyG               0.00105200            71.56     1  2024-10-28 .. 2024-10-28
 141 1AvZBBYkocHhXDoWaswPevMsN7bMDwy6xM               0.00008317             7.26     1  2024-11-15 .. 2024-11-15

=== LTC vendor destinations (valued at live rate on tx day) ===
destinations: 198, total sent: 6853.14289201 LTC = $619,110.84
price source: Binance LTCUSDT daily open (UTC), live rate at tx day; unpriced transfers: 0

rank address                                              amount              USD   txs  period
   1 LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G             916.97357483        74,784.10    49  2024-10-09 .. 2025-01-18
   2 LeVXYdaeaX7Gtm8AXe87wc5U2uqiMQM4Cq             478.39531217        45,571.15    31  2025-02-15 .. 2025-05-11
   3 LgZGiNoBd1tLwoNg2VjfU7vjFHqHdS6jis             424.89127181        43,800.52    39  2025-01-20 .. 2025-05-06
   4 ltc1q6ysrmm54arwsxq3n7evy296slmvcu2el5jgng2       100.14889276         7,087.54     1  2024-10-22 .. 2024-10-22
   5 ltc1qhz6xuu6znrr44e9w0kfhz273m07fne78d0yv7v        66.19599282         6,437.56     1  2024-11-28 .. 2024-11-28
   6 ltc1qtltg229wfy6npenntcqsht5f7u9jp9vh23xezw        52.69852848         5,414.77     1  2024-12-01 .. 2024-12-01
   7 ltc1q6d5sq0mr7le4qhlweul9g7vjpcv2udukgq2rc2        53.69870610         5,401.02     1  2024-12-28 .. 2024-12-28
   8 ltc1q8t0tf74t7kusx289e7y5jmzvkkg79fufexuudc        75.36335746         5,295.78     1  2024-11-02 .. 2024-11-02
   9 LgzbsbLsmev66YVzQdXqEfTTTBoRqmUUTf              78.11185458         5,191.61     5  2024-10-05 .. 2024-10-07
  10 ltc1q75vtnrxte5a4dvpp3yaw5f50xzyysglvhwdj2v        48.77338016         5,091.94     1  2025-01-12 .. 2025-01-12
  11 ltc1q8zggprvfzgwxyz8s2wdu3vq84w2cdky88ecv7z        51.85438482         4,948.98     1  2024-11-17 .. 2024-11-17
  12 ltc1qn8p8nk539rdjyjyeph3qwt0u2v7wnk8pj4r67j        37.44509526         4,741.30     1  2025-02-14 .. 2025-02-14
  13 ltc1qpetqtjg23c2m3lnf93jwfcd6cvlep4k0vcq6xq        33.36035020         4,500.64     1  2024-12-09 .. 2024-12-09
  14 ltc1qa9dcqwwwgnkuf3w4ym3mw4s9lv9ntzq8g2ytmz        48.19538319         4,496.15     1  2025-03-21 .. 2025-03-21
  15 ltc1q9vl8ktqjuntd6q294t8gzcmute9dfg9fklqvrm        64.24182543         4,421.76     1  2024-10-26 .. 2024-10-26
  16 ltc1qmx6sz265vdqljg34lgn6spyxe7j2lajh8fazln        45.56381046         4,416.04     1  2024-11-25 .. 2024-11-25
  17 ltc1qt997d8w8cc0tsqg936e5rkxrszmuc5hjm2m08w        67.00222577         4,401.38     1  2024-10-09 .. 2024-10-09
  18 ltc1qrw9pmpfxy3g4fqndf66nya2kzy29xhsx5rphc9        38.52040412         4,032.70     1  2025-02-09 .. 2025-02-09
  19 MLJfLK5kzy7NNE1sxGidpuqBdFqcMUSEZM              29.50330729         3,921.87     1  2024-12-03 .. 2024-12-03
  20 ltc1qrgulgxych9y39fep3y9dgddt8z5jvx96xcfv3l        44.19586329         3,853.88     1  2024-11-18 .. 2024-11-18
  21 ltc1qpyyy6s5zy96kdvx4apmek9ew9cqlq8gdl54qlz        50.37099782         3,829.71     1  2025-04-10 .. 2025-04-10
  22 ltc1q5yjktv0lw6pzvttr3qqfmzpxhjaxd0lsyjfl25        58.04479540         3,805.42     1  2024-11-05 .. 2024-11-05
  23 ltc1quj2vpdn7rql4leyx08xjlzpns26vz9ukjtljh8        34.87515198         3,669.91     1  2025-01-02 .. 2025-01-02
  24 ltc1qzjxhzx5650dyr47090gr6fh94lnyll3hply7y8        30.60241986         3,582.63     1  2025-01-27 .. 2025-01-27
