coin,date_utc,destination,amount,usd_value
LTC,2024-10-07,ltc1qy6fv62kvqzzhzeulp729xdx7mmv7ksd254xvxl,30.81842076,2065.76
LTC,2024-10-07,LgzbsbLsmev66YVzQdXqEfTTTBoRqmUUTf,16.11185458,1079.98
LTC,2024-10-09,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,16.00000000,1051.04
LTC,2024-10-09,ltc1qt997d8w8cc0tsqg936e5rkxrszmuc5hjm2m08w,67.00222577,4401.38
LTC,2024-10-10,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,30.00000000,1937.70
LTC,2024-10-10,MGtPPhuPEDSAYTvGxo2Hjevyepk2x28D8b,51.39544504,3319.63
LTC,2024-10-10,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,41.05185346,2651.54
LTC,2024-10-11,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,15.00000000,964.80
LTC,2024-10-11,ltc1q4lhdgpzwrxze49cgqjw4n78fd7n9xwakfrlxur,31.88760954,2051.01
LTC,2024-10-11,ltc1qzepqvaffl3ccnrfrku205jeyst3deua3gghn7e,13.91851271,895.24
LTC,2024-10-12,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,25.00000000,1639.75
LTC,2024-10-12,ltc1qxsn8dn6al07evlhkjjk0y6yud0xj2w27fuyt42,50.73516449,3327.72
LTC,2024-10-13,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,20.00000000,1323.80
LTC,2024-10-13,MFfN7ekRizPuVPPp5bmpXBJ5Ww4afDwGSS,48.17633876,3188.79
LTC,2024-10-14,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,25.00000000,1620.00
LTC,2024-10-14,ltc1q0aky486pd35wzwx2jj5ww9aasve29ucxusxgnu,38.88627268,2519.83
LTC,2024-10-14,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,20.00000000,1296.00
LTC,2024-10-14,ltc1qy5jsau6jhuxwntsyj8mvtg88plu2kajj8gd7py,27.27246570,1767.26
LTC,2024-10-15,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,32.26812637,2156.80
LTC,2024-10-15,MDxyyA7VNzDsu1oFvBkLazGfTe4sPKMqCZ,46.53722445,3110.55
LTC,2024-10-16,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,42.15349509,2987.42
LTC,2024-10-16,MCRK8SWRWnyv7VV4hj2vDjyDxk2BQHqzTH,32.99797762,2338.57
LTC,2024-10-17,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,30.78708449,2157.56
LTC,2024-10-18,MAHUWU98iSqGEGA9zb6zA49Y621uhKbEAy,43.77913637,3186.68
LTC,2024-10-19,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,20.00000000,1462.20
LTC,2024-10-19,MRZTCnJN5CCxuZKMqFfQzDvqRDPakJy636,30.43355621,2225.00
LTC,2024-10-19,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,20.71967938,1514.82
LTC,2024-10-20,MK9KcTNmynPuTKLVPeYfWWgWHfkaaTSJrZ,33.37816945,2500.02
LTC,2024-10-22,ltc1q6ysrmm54arwsxq3n7evy296slmvcu2el5jgng2,100.14889276,7087.54
LTC,2024-10-22,ltc1qql3ttpxhhzyhrl6l2zahnldkh2craqgpsclhud,23.57829815,1668.64
LTC,2024-10-22,MSJBZD6pKVo4jFUpMfmsd6UdHgXwYx9Qvd,40.00000000,2830.80
LTC,2024-10-23,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,22.46406690,1573.16
LTC,2024-10-24,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,20.00000000,1401.00
LTC,2024-10-24,ltc1q2jxgfxfsfk24rwkmmqpvf8928l7se6kdvw62yt,32.30114264,2262.70
LTC,2024-10-24,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,39.58994797,2773.28
LTC,2024-10-26,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,30.00000000,2064.90
LTC,2024-10-26,ltc1q9vl8ktqjuntd6q294t8gzcmute9dfg9fklqvrm,64.24182543,4421.76
LTC,2024-10-27,ltc1qdxev39eusnsp85khe2atga9j8jtp8vpuxn6a20,40.74277364,2789.66
LTC,2024-10-28,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,15.00000000,1066.50
LTC,2024-10-28,MU8jZPfPGaivBbvEn6BedEVk3saxK9jLWZ,34.23763996,2434.30
LTC,2024-10-29,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,31.33845977,2219.08
LTC,2024-10-30,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,15.00000000,1109.85
LTC,2024-10-30,MTWXgxrfNcZs3zCnhHAN8vjnVon3A5Hqsw,41.36484271,3060.58
LTC,2024-10-31,ltc1qucye0x0hnsa3vq8q8z7d6zlzt376ay8j2v2q7h,26.41567329,1895.59
LTC,2024-11-02,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,15.00000000,1054.05
LTC,2024-11-02,ltc1q8t0tf74t7kusx289e7y5jmzvkkg79fufexuudc,75.36335746,5295.78
LTC,2024-11-02,ltc1qrluwymhspj7rensfs9tl22j6xj53pcw2pvh43j,33.00922605,2319.56
LTC,2024-11-03,MMdjeY3RUGzK8Fsq47T2kQVdPEQXArNSYg,32.03284564,2216.67
LTC,2024-11-04,ltc1q920jqqs0htkgfrafvexlwzgl2rang2txanjrms,21.44844613,1433.83
LTC,2024-11-04,MWuvRUjJyTG41VdBgTpj2ftZHyQBfTSa39,29.49070044,1971.45
LTC,2024-11-05,ltc1q5yjktv0lw6pzvttr3qqfmzpxhjaxd0lsyjfl25,58.04479540,3805.42
LTC,2024-11-06,ltc1qkm2fmccqe7k972j202y8j906qf62w7qpp4usd9,31.16962110,2038.49
LTC,2024-11-07,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,15.00000000,1065.00
LTC,2024-11-07,ltc1q4ad4qz8w0z7va3hesyqqm4zzyzkzemvz8rrmzw,25.44872234,1806.86
LTC,2024-11-08,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,15.00000000,1071.90
LTC,2024-11-08,MGEU3SKSt8NZGD7Ns46JNQGs8hA1ci2CFq,35.88916401,2564.64
LTC,2024-11-09,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,20.00000000,1455.80
LTC,2024-11-09,ltc1qzp9864m880y2shxj5fv4sd8hwletk2e68dysd7,40.43244244,2943.08
LTC,2024-11-10,MCvWRiddzzWTYjxq4ELGtx9Yh3S3Ah5FGf,35.30384299,2611.78
LTC,2024-11-11,ltc1q8zyps9wa4jyhtxe47s3af3pzqsv3kgzqlhz2w8,46.20974117,3538.74
LTC,2024-11-12,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,15.00000000,1200.60
LTC,2024-11-12,MQdDPSXgunB63cMjUzzPTU8ELv7xdNMzY9,36.66688325,2934.82
LTC,2024-11-13,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,15.00000000,1150.35
LTC,2024-11-13,ltc1qq78vg9tz3dcam73j75danzw7u268yk0dy0qgtc,20.01104333,1534.65
LTC,2024-11-14,LeSVbA96uaS5GirNSoFz9bcR6ubV19AuJD,1.55532734,117.27
LTC,2024-11-15,MRrHNtWrLZTLNXdq5xuFpCPt9Gzhv5o2LA,20.00000000,1647.40
LTC,2024-11-15,ltc1qs79s04evzxgjzj52q4r3w79sy2seqhgtgzfy43,39.07242102,3218.40
LTC,2024-11-15,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,19.87259273,1636.91
LTC,2024-11-17,ltc1q8zggprvfzgwxyz8s2wdu3vq84w2cdky88ecv7z,51.85438482,4948.98
LTC,2024-11-18,ltc1qrgulgxych9y39fep3y9dgddt8z5jvx96xcfv3l,44.19586329,3853.88
LTC,2024-11-19,ltc1qwjtd36057s54dtmg9amhnhqar6n9wjgjeksy3v,17.63090695,1572.85
LTC,2024-11-20,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,20.00000000,1733.40
LTC,2024-11-20,MVLAkqhWP1FkVJujeSEsE6dRCbwWg7nCih,27.36629047,2371.84
LTC,2024-11-21,MJCGgGPAxRBNAqKNLUZ4GUB4YYuY1kWHGL,30.08488849,2509.38
LTC,2024-11-22,ltc1quv4g6me3veljsu3uz7jsmkgj2ehlxjnst8tuhx,26.90252764,2408.05
LTC,2024-11-22,MVt2TRa7HSkStTeYRxYPabeW8Zjp9dyQsC,25.44356249,2277.45
LTC,2024-11-23,ltc1qwajpankn8v8a29a9uf4x9etrgu78ekpnyc3ny6,16.55861072,1526.70
LTC,2024-11-25,ltc1qmx6sz265vdqljg34lgn6spyxe7j2lajh8fazln,45.56381046,4416.04
LTC,2024-11-25,LYaQTr1QDSXnmDdi38A13WXWDiyuWw9h7G,19.01349557,1842.79
LTC,2024-11-26,ltc1qq7mk25meg48zzw9ug2qhwhf6qzk74uhhtes7ua,11.91267526,1098.71
LTC,2024-11-28,ltc1qhz6xuu6znrr44e9w0kfhz273m07fne78d0yv7v,66.19599282,6437.56
LTC,2024-11-29,ltc1qx9d4em0e23spcmp6372f8get0006xjhf35j58s,35.33776734,3376.17
LTC,2024-12-01,ltc1qtltg229wfy6npenntcqsht5f7u9jp9vh23xezw,52.69852848,5414.77
LTC,2024-12-02,ltc1qy9yt8mzuq6cv3ksj9ln33hej892uw8z2wdfkcu,26.12293417,3123.52
LTC,2024-12-03,MLJfLK5kzy7NNE1sxGidpuqBdFqcMUSEZM,29.50330729,3921.87
